0.0000	0.5774	0.9107	1.5774	2.1731	
# x	frequency	linewidth
0.531162	1.314151839	0.01016053941
0.534049	1.3145296494	0.01115129671
0.536936	1.3148834776	0.01221353573
0.539823	1.3152132752	0.01315678885
0.542709	1.3155189938	0.01374734641
0.545596	1.3158006092	0.01381446464
0.548483	1.316058073	0.01333594096
0.55137	1.3162912642	0.01243523148
0.554256	1.3165001586	0.01131471256
0.557143	1.3166846836	0.01017140482
0.56003	1.3168447666	0.009140335897
0.562917	1.3169803108	0.008293819691
0.565803	1.3170913162	0.007673220412
0.56869	1.317177686	0.007305777776
0.571577	1.3172394202	0.007175016939
0.574464	1.3172764704	0.007183276015
0.57735	1.3172888366	0.007204274439
0.579017	1.3173306784	0.007206899338
0.580684	1.3174560828	0.007206787196
0.58235	1.317665195	0.007184137576
0.584017	1.317957894	0.007117880129
0.585684	1.3183338168	0.006998352069
0.58735	1.3187934232	0.006836092437
0.589017	1.319336326	0.006662753935
0.590684	1.3199619444	0.006522855447
0.59235	1.3206709802	0.006460588327
0.594017	1.3214628768	0.006508549203
0.595684	1.3223367872	0.00668233318
0.59735	1.3232937036	0.006982755803
0.599017	1.3243328274	0.007400943921
0.600684	1.3254530696	0.007925164372
0.60235	1.326655737	0.008548554057
0.604017	1.3279397648	0.009271845379
0.605684	1.3293038462	0.01010564312
0.60735	1.3307495784	0.01106895421
0.609017	1.3322756546	0.01217279179
0.610684	1.3338805502	0.01340255184
0.61235	1.3355661528	0.01470265055
0.614017	1.3373309136	0.01596451265
0.615684	1.339173066	0.01704780424
0.61735	1.3410948122	0.01782360206
0.619017	1.3430943614	0.01821702455
0.620684	1.3451697534	0.01824004849
0.62235	1.347323384	0.01798473254
0.624017	1.3495533414	0.01758556063
0.625684	1.3518573992	0.01717379787
0.62735	1.3542382678	0.01684505897
0.629017	1.356693745	0.01665377077
0.630684	1.359221435	0.01661619155
0.63235	1.3618243144	0.01670733759
0.634017	1.3644999874	0.01685111619
0.635684	1.3672458162	0.01692590031
0.63735	1.370065092	0.0168101294
0.639017	1.372955177	0.01645163803
0.640684	1.3759132398	0.01590477878
0.64235	1.3789427894	0.01529748962
0.644017	1.382041067	0.01476281907
0.645684	1.3852049992	0.01438338727
0.64735	1.3884383612	0.01418169846
0.649017	1.3917381764	0.01414404345
0.650684	1.395101202	0.01424272854
0.65235	1.3985314794	0.01445044054
0.654017	1.4020258142	0.01474575799
0.655684	1.4055807942	0.01510849066
0.65735	1.4092006786	0.01551119697
0.659017	1.4128821036	0.01590962023
0.660684	1.4166214876	0.01624340476
0.66235	1.4204233318	0.01645166896
0.664017	1.4242840788	0.01649417006
0.665684	1.4281999776	0.01637003103
0.66735	1.4321757714	0.01611816441
0.669017	1.4362077092	0.01580054072
0.670684	1.4402918706	0.01547950792
0.67235	1.4444332408	0.01520036678
0.674017	1.4486278752	0.01498572826
0.675684	1.4528717566	0.01483786614
0.67735	1.4571700154	0.01474534964
0.679017	1.461518586	0.01468986789
0.680684	1.4659132576	0.01465452842
0.68235	1.4703593784	0.01463336991
0.684017	1.474852786	0.01463798707
0.685684	1.4793890518	0.01469298622
0.68735	1.483973766	0.01480739131
0.689017	1.4886025484	0.01492737258
0.690684	1.4932708978	0.01491577322
0.69235	1.4979845738	0.01461379375
0.694017	1.5027390752	0.01396861446
0.695684	1.5075297072	0.01311272395
0.69735	1.512362423	0.0122941497
0.699017	1.5172326004	0.01172432761
0.700684	1.5221354236	0.01148271233
0.70235	1.5270770152	0.01154142145
0.704017	1.5320526078	0.0118337041
0.705684	1.5370572404	0.0122803361
0.70735	1.542097205	0.01277516294
0.709017	1.5471676132	0.01317378805
0.710684	1.552263383	0.01332642976
0.71235	1.5573909758	0.01314345244
0.714017	1.562545358	0.01264861942
0.715684	1.5677213508	0.01197762269
0.71735	1.5729255124	0.01131439238
0.719017	1.5781527366	0.01081259804
0.720684	1.5833976994	0.01054541512
0.72235	1.5886671284	0.01050601688
0.724017	1.593955748	0.01064299348
0.725684	1.59925821	0.01089652522
0.72735	1.6045812904	0.01122159127
0.729017	1.6099196168	0.01159494883
0.730684	1.6152677684	0.01201172009
0.73235	1.6206325938	0.01247752608
0.734017	1.6260086722	0.01299344028
0.735684	1.6313904618	0.01353594686
0.73735	1.636784908	0.01404210083
0.739017	1.642186469	0.01441804616
